Journal title,Journal URL,URL in DOAJ,Journal ISSN (print version),Journal EISSN (online version),Country of publisher,APC,Has other fees,bnd1,bnd2,correo
Chasqui,http://revistachasqui.org,https://doaj.org/toc/fc8cb76f7c274d1dbd6879b94dc4fa84,1390-1079,1390-924X,Ecuador,No,No,,,
Íconos,http://www.revistaiconos.ec,https://doaj.org/toc/80f6c811e4504d6b9cd124a77c60c008,1390-1249,2224-6983,Ecuador,No,No,revistaiconos@flacso.edu.ec,,revistaiconos@flacso.edu.ec
"Foro, Revista de Derecho",https://revistas.uasb.edu.ec/index.php/foro/issue/view/109,https://doaj.org/toc/0bdd8d169af24d89a2ffb53b902c8a48,1390-2466,2631-2484,Ecuador,No,No,,,
Alteridad : Revista de Educación,http://alteridad.ups.edu.ec/,https://doaj.org/toc/699ba6f867ed45018ce073f290d7653a,1390-325X,1390-8642,Ecuador,No,No,alteridad@ups.edu.ec,alteridad@ups.edu.ec,alteridad@ups.edu.ec
Revista Ecuatoriana de Pediatría,http://rev-sep.ec/index.php/johs,https://doaj.org/toc/018f85209ec74695b6e1654ca50420ae,1390-3497,2737-6494,Ecuador,No,No,,,
Urvio,http://revistas.flacsoandes.edu.ec/urvio/index,https://doaj.org/toc/20a2c67e0056469a881d641ff55bd81f,1390-3691,1390-4299,Ecuador,No,No,,,
La Granja: Revista de Ciencias de la Vida,http://revistas.ups.edu.ec/index.php/granja,https://doaj.org/toc/098f07890d2e4504ac099615f8f31346,1390-3799,1390-8596,Ecuador,No,No,,,
Universitas: Revista de Ciencias Sociales y Humanas,https://universitas.ups.edu.ec/index.php/universitas,https://doaj.org/toc/5e3e3ff81dcc42d4aba4467274834d68,1390-3837,1390-8634,Ecuador,No,No,revistauniversitas@ups.edu.ec,revistauniversitas@ups.edu.ec,revistauniversitas@ups.edu.ec
Sophía: Colección de Filosofía de la Educación,https://sophia.ups.edu.ec/index.php/sophia/,https://doaj.org/toc/0120495c80df467b9d4880e8f08becb3,1390-3861,1390-8626,Ecuador,No,No,,,
Ciencia UNEMI,http://ojs.unemi.edu.ec/index.php/cienciaunemi,https://doaj.org/toc/b512d5e2c6e8494cb033ff8ce831673c,1390-4272,2528-7737,Ecuador,No,No,ciencia_unemi@unemi.edu.ec,ciencia_unemi@unemi.edu.ec,ciencia_unemi@unemi.edu.ec
Ius Humani,http://www.iushumani.org/,https://doaj.org/toc/eeeb85fa669843f98fbd1aec449c7e26,1390-440X,1390-7794,Ecuador,No,No,,,
INDEX Revista de Arte Contemporáneo,http://revistaindex.net,https://doaj.org/toc/88b51a2de7e241dfb32057a22669df4d,1390-4825,2477-9199,Ecuador,No,No,gmvargas@puce.edu.ec,gmvargas@puce.edu.ec,gmvargas@puce.edu.ec
Revista Técnica Energía,https://revistaenergia.cenace.gob.ec,https://doaj.org/toc/3c584b96817749e289d877fe49169244,1390-5074,2602-8492,Ecuador,No,No,,,
ACI Avances en Ciencias e Ingenierías,https://revistas.usfq.edu.ec/index.php/avances,https://doaj.org/toc/65126364e8844ae1950c2e645712179d,1390-5384,,Ecuador,No,No,,,
PODIUM,http://revistas.uees.edu.ec/index.php/Podium/index,https://doaj.org/toc/2e2e138a7eb845308a0bfbb73988fa7f,1390-5473,2588-0969,Ecuador,No,No,,,
Eutopia: Revista de Desarrollo Economico Territorial,http://revistas.flacsoandes.edu.ec/eutopia/index,https://doaj.org/toc/9f7a92dc96a4447d8dc0387c68ed79f3,1390-5708,,Ecuador,No,No,eutopia@flacso.edu.ec,,eutopia@flacso.edu.ec
Perfiles,http://ceaa.espoch.edu.ec:8080/revista.perfiles/,https://doaj.org/toc/7685838f0915478aa6495ff964199d08,1390-5740,2477-9105,Ecuador,No,No,,,
Kalpana,https://publicaciones.udet.edu.ec/index.php/kalpana/index,https://doaj.org/toc/e6319891b1754aa687ed5110232fbb3a,1390-5775,2661-6696,Ecuador,No,No,kalpana@udet.edu.ec,kalpana@udet.edu.ec,kalpana@udet.edu.ec
Cedamaz,https://revistas.unl.edu.ec/index.php/cedamaz,https://doaj.org/toc/f55470413bf9413cb4a9b924f9e57185,,1390-5902,Ecuador,No,No,,,
Maskana,https://publicaciones.ucuenca.edu.ec/ojs/index.php/maskana,https://doaj.org/toc/ff863d422a644786b66a2d89ab5d46a6,1390-6143,2477-8893,Ecuador,No,No,edison.timbe@ucuenca.edu.ec,edison.timbe@ucuenca.edu.ec,edison.timbe@ucuenca.edu.ec
Retos: Revista de Ciencias de la Administración y Economía,http://revistas.ups.edu.ec/index.php/retos,https://doaj.org/toc/dc0eb354fd164a9d86f0a106241e21c5,1390-6291,1390-8618,Ecuador,No,No,,,
"Turismo, Desarrollo y Buen Vivir. Revista de Investigación de la Ciencia Turística-RICIT",https://publicaciones.udet.edu.ec/index.php/ricit/index,https://doaj.org/toc/c422776036ca4578a0523bbd1c1069f0,1390-6305,2588-0861,Ecuador,No,No,,ncaceres@udet.edu.ec,ncaceres@udet.edu.ec
Iuris Dictio,http://revistas.usfq.edu.ec/index.php/iurisdictio/index,https://doaj.org/toc/f7ec10810d0a4f9eb6835ae18d2394a7,1390-6402,2528-7834,Ecuador,No,No,,,
Ingenius: Revista de Ciencia y Tecnología,http://revistas.ups.edu.ec/index.php/ingenius,https://doaj.org/toc/f281e73b1d3740379c43c2464a035060,1390-650X,1390-860X,Ecuador,No,No,,revistaingenius@ups.edu.ec,revistaingenius@ups.edu.ec
ECA Sinergia,https://revistas.utm.edu.ec/index.php/ECASinergia,https://doaj.org/toc/6e0b308521044c8fb9e86d673d2d3630,1390-6623,2528-7869,Ecuador,No,No,,,
Letras Verdes: Revista Latinoamericana de Estudios Socioambientales,http://revistas.flacsoandes.edu.ec/letrasverdes,https://doaj.org/toc/b4769730c64d4bd095a83acd12482499,,1390-6631,Ecuador,No,No,,,
Maskay,https://journal.espe.edu.ec/ojs/index.php/maskay,https://doaj.org/toc/9a17cad06d8e45d38a160af6e13601c0,,1390-6712,Ecuador,No,No,,,
La Técnica: Revista de las Agrociencias,http://revistas.utm.edu.ec/index.php/latecnica,https://doaj.org/toc/f2228f849abc4be8abad813ecb59fc58,1390-6895,2477-8982,Ecuador,No,No,latecnica@utm.edu.ec,latecnica@utm.edu.ec,latecnica@utm.edu.ec
Revista Textos y Contextos,https://revistadigital.uce.edu.ec/index.php/CONTEXTOS/index,https://doaj.org/toc/01fe3bf2e3b843ba8d1929d4aff3c26d,1390-695X,2600-5735,Ecuador,No,No,,,
Enlace Universitario,http://enlace.ueb.edu.ec,https://doaj.org/toc/7da5d5ee78c54569a87e7a07064f96e4,1390-6976,2631-245X,Ecuador,No,No,geldphone@gmail.com,geldphone@gmail.com,geldphone@gmail.com
FIGEMPA,http://revistadigital.uce.edu.ec/index.php/RevFIG/index,https://doaj.org/toc/b9876d615b50496299484213161fe82c,1390-7042,2602-8484,Ecuador,No,No,,,
Revista San Gregorio,http://revista.sangregorio.edu.ec/index.php/RSANG/index,https://doaj.org/toc/c9d0021c045a42b796d656f0a4cb1dd5,1390-7247,,Ecuador,No,No,,,
ESTOA: Revista de la Facultad de Arquitectura y Urbanismo de la Universidad de Cuenca,https://publicaciones.ucuenca.edu.ec/ojs/index.php/estoa,https://doaj.org/toc/de63fe425ada4540a7fa78f11ea4043d,1390-7263,1390-9274,Ecuador,No,No,,,
Revista Eugenio Espejo,http://eugenioespejo.unach.edu.ec/index.php/EE,https://doaj.org/toc/9b08d5fa239d4df98fc3560a25a7f443,1390-7581,2661-6742,Ecuador,No,No,,yroque@unach.edu.ec,yroque@unach.edu.ec
Revista Científica y Tecnológica UPSE,https://incyt.upse.edu.ec/ciencia/revistas/index.php/rctu,https://doaj.org/toc/30e5fcb9ecb74ba3a99a0e9edd291f4f,1390-7638,1390-7697,Ecuador,No,No,,,
Yachana,http://revistas.ulvr.edu.ec/index.php/yachana/issue/archive,https://doaj.org/toc/7b93b3433d7d4c3f9df099db12103b22,1390-7778,2528-8148,Ecuador,No,No,yachana@ulvr.edu.ec; acamachod@ulvr.edu.ec,yachana@ulvr.edu.ec; acamachod@ulvr.edu.ec,yachana@ulvr.edu.ec; acamachod@ulvr.edu.ec
Revista Economía y Política,https://revistaeconomiaypolitica.ucuenca.edu.ec,https://doaj.org/toc/d183ec0a90294530ad4b919fbadf35cb,1390-7921,2477-9075,Ecuador,No,No,,,
Estado & Comunes,http://revistas.iaen.edu.ec/index.php/estado_comunes,https://doaj.org/toc/55c6815590ea4d038a17913902908823,1390-8081,2477-9245,Ecuador,No,No,,elkin.monroy@iaen.edu.ec,elkin.monroy@iaen.edu.ec
Compendium,http://www.revistas.espol.edu.ec/index.php/compendium,https://doaj.org/toc/14b63cccd8404d3085c079f640c9f034,1390-8391,1390-9894,Ecuador,No,No,,,
Tsantsa: Revista de Investigaciones Artísticas,https://www.ucuenca.edu.ec/ojs/index.php/tsantsa/index,https://doaj.org/toc/d6229df31d4c40019e9a20212739652f,1390-8472,1390-8448,Ecuador,No,No,,luis.crespo@ucuenca.edu.ec,luis.crespo@ucuenca.edu.ec
Revista Científica UISRAEL,https://revista.uisrael.edu.ec/index.php?journal=rcui,https://doaj.org/toc/f0a29bde343b4be58ab525430629441b,1390-8545,2631-2786,Ecuador,No,No,,,
La Ciencia al Servicio de la Salud y Nutrición,http://revistas.espoch.edu.ec/index.php/cssn/,https://doaj.org/toc/fbbeecb585f846f9bfef76601d29cbab,,1390-874X,Ecuador,No,No,,maria.vinueza@espoch.edu.ec,maria.vinueza@espoch.edu.ec
Siembra,http://revistadigital.uce.edu.ec/index.php/SIEMBRA,https://doaj.org/toc/790b9d0e5f494a69a1e6d315103bd8c7,1390-8928,2477-8850,Ecuador,No,No,,,
Revista Electrónica Formación y Calidad Educativa,http://www.refcale.uleam.edu.ec/index.php/refcale/about,https://doaj.org/toc/5885477a00eb474097d7af3c13ece7a6,,1390-9010,Ecuador,No,No,,gardeniacedeno48@gmail.com,gardeniacedeno48@gmail.com
Ecuador es Calidad,https://revistaecuadorescalidad.agrocalidad.gob.ec/revistaecuadorescalidad/index.php/revista/about,https://doaj.org/toc/ba224dc041d04c22accce20ae97d047a,1390-9223,2528-7850,Ecuador,No,No,,,
Latin-American Journal of Computing,https://lajc.epn.edu.ec,https://doaj.org/toc/61bc8e58d9fd4b899c1a2fa8e97931e2,1390-9266,1390-9134,Ecuador,No,No,,,
Bionatura,https://www.revistabionatura.com/,https://doaj.org/toc/bbe5a3b4928f4153aa6e958326b44257,1390-9347,1390-9355,Ecuador,No,No,,,
"Revista de Investigación, Formación y Desarrollo",http://ojs.formacion.edu.ec/index.php/rif/index,https://doaj.org/toc/46bcf9a2c7064d37837fcb7552cd657b,1390-9681,1390-9789,Ecuador,No,No,,alejandrol@formacion.edu.ec ; karla.chica1@formacion.edu.ec,alejandrol@formacion.edu.ec ; karla.chica1@formacion.edu.ec
Post(s),https://revistas.usfq.edu.ec/index.php/posts/issue/view/100,https://doaj.org/toc/ed0ec470c08d4f8ab04ca3cf5073e6cd,1390-9797,2631-2670,Ecuador,No,No,,,
Journal of the College of Community Physicians,https://jccpsl.sljol.info,https://doaj.org/toc/57f365a2bd6440c19c3de1caa940aaaf,1391-3174,2579-1451,Sri Lanka,No,No,,,
Sri Lanka Journal of Child Health,http://sljch.sljol.info,https://doaj.org/toc/54a1941cbacc403fa56a8193dd26942d,1391-5452,2386-110X,Sri Lanka,No,No,,,
Sri Lankan Journal of Anaesthesiology,http://slja.sljol.info/,https://doaj.org/toc/a958c2077e08477ab8283339343ab98c,1391-8834,2279-1965,Sri Lanka,No,No,,,
Journal of Agricultural Sciences,https://jas.sljol.info,https://doaj.org/toc/f680612c0cbe488a955cb08043057f8b,1391-9318,2386-1363,Sri Lanka,No,No,,,
Acta Medica Lituanica,https://www.journals.vu.lt/AML/,https://doaj.org/toc/bf7020e9f4604a088ffb539c0739d62c,1392-0138,2029-4174,Lithuania,No,No,,,
Semiotika (Vilniaus universitetas),https://www.journals.vu.lt/Semiotika,https://doaj.org/toc/af36f9d21b0a48cea9442138c7525ce2,1392-0219,2424-547X,Lithuania,No,No,,,
Pedagogika,https://ejournals.vdu.lt/index.php/Pedagogika,https://doaj.org/toc/5a1138ccb01547f2ae32d137161e7c75,1392-0340,2029-0551,Lithuania,No,No,,,
Psichologija,http://www.journals.vu.lt/psichologija,https://doaj.org/toc/64f6e86d3340480d85121ddada4ef039,1392-0359,2345-0061,Lithuania,No,No,,,
Lietuvos Istorijos Studijos,http://www.journals.vu.lt/lietuvos-istorijos-studijos,https://doaj.org/toc/cebeece190794af3b813839a708f87a0,1392-0448,1648-9101,Lithuania,No,No,,,
Informacijos Mokslai,http://www.journals.vu.lt/informacijos-mokslai,https://doaj.org/toc/a2b41e5cd57f43afa31faff9e022c063,1392-0561,1392-1487,Lithuania,No,No,,,
Lietuvos Chirurgija,http://www.journals.vu.lt/lietuvos-chirurgija,https://doaj.org/toc/15c26a6550a64d1489ff16839a75b6bc,1392-0995,1648-9942,Lithuania,No,No,,,
Problemos,http://www.journals.vu.lt/problemos,https://doaj.org/toc/145032425ed9468f9e2adea95cba9fa4,1392-1126,2424-6158,Lithuania,No,No,,,
Mechanika,https://mechanika.ktu.lt,https://doaj.org/toc/a7b90da0fd574aff87445a5a24ed2e67,1392-1207,2029-6983,Lithuania,Yes,No,,,
Elektronika ir Elektrotechnika,http://eejournal.ktu.lt,https://doaj.org/toc/67dbc7210569435b90115c3ddd2fac5b,1392-1215,2029-5731,Lithuania,Yes,No,,,
Informacinės Technologijos ir Valdymas,https://itc.ktu.lt/,https://doaj.org/toc/c68de532d6b744ed95fd90fec1be79d1,1392-124X,2335-884X,Lithuania,Yes,No,,,
Teisė,http://www.journals.vu.lt/teise,https://doaj.org/toc/fa0fc8578da043fc91dd52fe44ee0a53,1392-1274,2424-6050,Lithuania,No,No,,,
Medžiagotyra,http://www.matsc.ktu.lt,https://doaj.org/toc/6af159f6f8fa47368b543774300c0ba9,1392-1320,2029-7289,Lithuania,Yes,No,,,
Kalbotyra,http://www.journals.vu.lt/kalbotyra,https://doaj.org/toc/4dbc17a1b3784d108d04b627f1d0a043,1392-1517,2029-8315,Lithuania,No,No,,,
Politologija,http://www.journals.vu.lt/politologija,https://doaj.org/toc/4130dde87bd0472f92c7b657d59b1c21,1392-1681,2424-6034,Lithuania,No,No,,,
Terminologija,http://journals.lki.lt/terminologija/pradinis,https://doaj.org/toc/6c9f0df30dae467381a8b9d30cba1ad8,1392-267X,2669-2198,Lithuania,No,No,,,
Žemdirbystė,http://www.zemdirbyste-agriculture.lt,https://doaj.org/toc/f58b7cc9fdfe4f13a6a91ce051a5b910,1392-3196,2335-8947,Lithuania,No,No,,,
Sociologija: Mintis ir Veiksmas,http://www.journals.vu.lt/sociologija-mintis-ir-veiksmas,https://doaj.org/toc/d6ed32bbada44f239d133f6ff9bb74a1,1392-3358,2335-8890,Lithuania,No,No,,,
Journal of Civil Engineering and Management,http://jcem.vgtu.lt,https://doaj.org/toc/ffb3b1c60b784038b8f223abfad9f0b2,1392-3730,1822-3605,Lithuania,Yes,No,,,
Acta Historica Universitatis Klaipedensis,https://e-journals.ku.lt/journal/AHUK,https://doaj.org/toc/1be55ff6659d4b10af533173dbd7774a,1392-4095,2351-6526,Lithuania,No,No,,,
Acta Paedagogica Vilnensia,http://www.journals.vu.lt/acta-paedagogica-vilnensia,https://doaj.org/toc/ae8a05d81bf94222afe9aabc867068bf,1392-5016,1648-665X,Lithuania,No,No,,,
Nonlinear Analysis,http://www.journals.vu.lt/nonlinear-analysis,https://doaj.org/toc/99af4e3bd044455ba22df48c215d33c9,1392-5113,2335-8963,Lithuania,No,No,,,
Specialusis Ugdymas,https://www.journals.vu.lt/special-education/,https://doaj.org/toc/0f06e45edcac4adc9e18d33d5323d804,1392-5369,2424-3299,Lithuania,No,No,,,
Jurisprudencija,https://www3.mruni.eu/ojs/jurisprudence/index,https://doaj.org/toc/3d5d1a7509d64764bccda27aeadc400d,1392-6195,2029-2058,Lithuania,No,No,,,
Mathematical Modelling and Analysis,http://mma.vgtu.lt,https://doaj.org/toc/621af0f72ef64bf491dcd82018281e52,1392-6292,1648-3510,Lithuania,No,No,,,
Lithuanian Journal of Statistics,https://www.journals.vu.lt/statisticsjournal/,https://doaj.org/toc/ffaae1f762994a4991362ffc2fb46979,1392-642X,2029-7262,Lithuania,No,No,,,
Archaeologia Lituana,http://www.journals.vu.lt/archaeologia-lituana/,https://doaj.org/toc/e4e8dc7dc17d4ca9b791ad4c51db8087,1392-6748,2538-8738,Lithuania,No,No,,,
Soter: Religijos Mokslo Žurnalas,https://ejournals.vdu.lt/index.php/SJRS/issue/archive,https://doaj.org/toc/79756b124d4742f9a89cfd7c21f8a2bb,1392-7450,2335-8785,Lithuania,No,No,,,
Respectus Philologicus,http://www.rephi.knf.vu.lt/en/,https://doaj.org/toc/f0080289ba014985aecfa2593c9e96f5,1392-8295,2335-2388,Lithuania,No,No,,,
Žmogus ir Žodis,http://www.zmogusirzodis.leu.lt/,https://doaj.org/toc/4221695867424186a6095b45c431f0ef,1392-8600,1822-7805,Lithuania,No,No,,,
Irish Journal of Applied Social Studies,http://arrow.dit.ie/ijass/,https://doaj.org/toc/3b2cf93695ec4947b2440de9add44a1a,1393-7022,2009-8642,Ireland,No,No,,,
The Malaysian Journal of Medical Sciences,http://www.mjms.usm.my/index.html,https://doaj.org/toc/06ccb92335af41cdb716c2f98ad43edf,1394-195X,2180-4303,Malaysia,No,No,,,
Malaysian Journal of Animal Science,http://www.mjas.my,https://doaj.org/toc/8822c974aa5747129eb4c9e4977f098a,1394-3227,,Malaysia,No,No,,,
KEMANUSIAAN:  The Asian Journal of Humanities,http://web.usm.my/kajh/,https://doaj.org/toc/e6f5f2cca37c486889f38c9e136ef8a0,1394-9330,2180-4257,Malaysia,No,No,,,
The Copenhagen Journal of Asian Studies,https://rauli.cbs.dk/index.php/cjas/index,https://doaj.org/toc/a87d7e046a164541aa936cde1b5bcbfc,1395-4199,2246-2163,Denmark,No,No,,,
Outlines,https://tidsskrift.dk/outlines/index,https://doaj.org/toc/8480bfcf78a64967bbc04725577839a3,1399-5510,1904-0210,Denmark,No,No,,,
Revista Nuevo Humanismo,http://www.revistas.una.ac.cr/index.php/nuevohumanismo,https://doaj.org/toc/ec62ac64440c452da811ab8046134198,1405-0234,2215-4078,Costa Rica,No,No,,olga.arce.cascante@una.cr,olga.arce.cascante@una.cr
Ciencia Ergo Sum,http://ergosum.uaemex.mx/index.php/ergosum/index,https://doaj.org/toc/7f485a6bd6994f52b6ea561d364fa67d,1405-0269,2395-8782,Mexico,No,No,,,
Convergencia,https://convergencia.uaemex.mx,https://doaj.org/toc/42df008ba5824c7c8a245511cb76a90c,1405-1435,2448-5799,Mexico,No,No,revistaconvergencia@yahoo.com.mx,revistaconvergencia@yahoo.com.mx,revistaconvergencia@yahoo.com.mx
América Latina en la Historia Económica,http://alhe.mora.edu.mx/,https://doaj.org/toc/81d766a4d28c4359bf0b9a96d1cc148d,1405-2253,2007-3496,Mexico,No,No,,,
Polibotánica,http://www.polibotanica.mx,https://doaj.org/toc/cfa60231044c443ab5bc7087669acacf,1405-2768,2395-9525,Mexico,Yes,No,editorenjefe@polibotanica.mx,editorenjefe@polibotanica.mx,editorenjefe@polibotanica.mx
La Colmena,http://lacolmena.uaemex.mx/,https://doaj.org/toc/12b3db1b2da4420b9fb01d98f1837d29,1405-6313,2448-6302,Mexico,No,No,,,
Caleidoscopio,https://revistas.uaa.mx/index.php/caleidoscopio,https://doaj.org/toc/c5b92d12daa7461db02f01dc21690f9e,1405-7107,2395-9576,Mexico,No,No,caleidoscopio@correo.uaa.mx,caleidoscopio@correo.uaa.mx,caleidoscopio@correo.uaa.mx
Papeles de Población,http://rppoblacion.uaemex.mx/pp/index.php/papelesdepoblacion/index,https://doaj.org/toc/a193ccb05e1d41a6be8f5519fe8fadcc,1405-7425,2448-7147,Mexico,No,No,,,
"Economía, Sociedad y Territorio",http://est.cmq.edu.mx/index.php/est/index,https://doaj.org/toc/09385ff1e3ca48dbb747d5bf7783c38e,1405-8421,2448-6183,Mexico,No,No,est@cmq.edu.mx,est@cmq.edu.mx,est@cmq.edu.mx
The Anáhuac Journal,https://revistas.anahuac.mx/the_anahuac_journal,https://doaj.org/toc/604284758cdc4337b33bee44372a79da,1405-8448,2683-2690,Mexico,No,No,,,
TIP Revista Especializada en Ciencias Químico-Biológicas,http://www.revistas.unam.mx/index.php/tip/index,https://doaj.org/toc/3b8c411e90cb46c18242291e993ad5e8,1405-888X,2395-8723,Mexico,No,No,revistatip@yahoo.com,revistatip@yahoo.com,revistatip@yahoo.com
Revista de Estudios de Género: La Ventana,http://revistalaventana.cucsh.udg.mx/index.php/LV,https://doaj.org/toc/398567adb6d6427198eec2a2896956a9,1405-9436,2448-7724,Mexico,No,No,,,
Archivos de Cardiología de México,http://www.archivoscardiologia.com/index.php,https://doaj.org/toc/1c70da73a51848eb9f2cc8957c7967b7,1405-9940,1665-1731,Mexico,No,No,abuendiah725@gmail.com,abuendiah725@gmail.com,abuendiah725@gmail.com
Interlitteraria,http://ojs.utlib.ee/index.php/IL/,https://doaj.org/toc/531402ed102149b082ae1b2a4385e7a8,1406-0701,2228-4729,Estonia,No,No,,,
Trames,https://www.eap.ee/trames,https://doaj.org/toc/036957066fbe4bf1973c959a265b3b0c,1406-0922,1736-7514,Estonia,Yes,Yes,,,
Baltic Journal of Economics,https://www.tandfonline.com/journals/rbec,https://doaj.org/toc/c002a9c11c3548bea076f552151d6a2e,1406-099X,2334-4385,United Kingdom,No,No,,,
Juridica International,http://www.juridicainternational.eu,https://doaj.org/toc/f883e28f3373484686d13d343f04d720,1406-1082,1406-5509,Estonia,No,No,,,
Acta Historica Tallinnensia,https://www.eap.ee/historica,https://doaj.org/toc/e9d896693df5425c85c630dd13a20992,1406-2925,1736-7476,Estonia,No,No,,,
Eesti Arheoloogiaajakiri,http://www.eap.ee/archaeology,https://doaj.org/toc/372d83463c094e348561343dce949988,1406-2933,1736-7484,Estonia,Yes,Yes,,,
Sign Systems Studies,https://ojs.utlib.ee/index.php/sss/,https://doaj.org/toc/0ac9130ae886443a955aad6e6062d2b7,1406-4243,1736-7409,Estonia,No,No,,,
Agronomy Research,http://agronomy.emu.ee,https://doaj.org/toc/e3a7bbe9f8fe43b0aa797da3bead1296,1406-894X,2228-4907,Estonia,Yes,No,,,
Mäetagused,http://www.folklore.ee/tagused/,https://doaj.org/toc/f613cb55568f42b0b9db7417d4e77b4f,1406-992X,1406-9938,Estonia,No,No,,,
Ģeogrāfiski Raksti,https://www.foliageographica.lu.lv/en/,https://doaj.org/toc/64cea9c769a64db59dcd776ea24762f4,1407-5229,,Latvia,No,No,,,
Transport and Telecommunication,https://sciendo.com/journal/TTJ,https://doaj.org/toc/aecaae976a7941edac1cd489cf144357,,1407-6179,Poland,Yes,No,,,
Acta Historiae Artis Slovenica,https://ojs.zrc-sazu.si/ahas,https://doaj.org/toc/303f4edcf7ba451c8b7aa8547c235f29,1408-0419,2536-4200,Slovenia,No,No,,,
Onkologija,https://revijaonkologija.si/,https://doaj.org/toc/9d247b3960a444e4a40dfe10217e73e4,1408-1741,1581-3215,Slovenia,No,No,,,
"Annales, Series Historia Naturalis",https://zdjp.si/en/p/annalesshn/,https://doaj.org/toc/71db2c563c914a0ebb5c77dfa92fb9d5,1408-533X,2591-1783,Slovenia,No,No,,,
"Annales, Series Historia et Sociologia",https://zdjp.si/en/p/annalesshs/,https://doaj.org/toc/ef80f69421c1498b94091352ffaba868,1408-5348,2591-1775,Slovenia,No,No,,,
Studia Mythologica Slavica,https://ojs.zrc-sazu.si/sms/index,https://doaj.org/toc/ea34fccfff2e483b890e094df17770de,1408-6271,1581-128X,Slovenia,No,No,,,
Stati inu obstati,http://www.hippocampus.si/issn/2590-9754/,https://doaj.org/toc/b3b04582a102407a95833b83dd70e2ce,1408-8363,2590-9754,Slovenia,No,No,,,
Documenta Praehistorica,https://journals.uni-lj.si/DocumentaPraehistorica,https://doaj.org/toc/b99c8a565dac41028abe710709fa0a47,1408-967X,1854-2492,Slovenia,No,No,,,
Pensar en Movimiento: Revista de Ciencias del Ejercicio y la Salud,http://www.revistas.ucr.ac.cr/index.php/pem,https://doaj.org/toc/5347468a16b847f3959d9cf8f78c464b,1409-0724,1659-4436,Costa Rica,No,No,,,
Economía y Sociedad,http://www.revistas.una.ac.cr/index.php/economia,https://doaj.org/toc/3e2dea8474e9441f8e84190ab9d7fbe3,1409-1070,2215-3403,Costa Rica,No,No,,rmorale@una.cr,rmorale@una.cr
Ciencias Ambientales,http://www.revistas.una.ac.cr/ambientales,https://doaj.org/toc/9cdf0de4275649d89bcde281c1a1834b,1409-2158,2215-3896,Costa Rica,No,No,,,
Ingeniería,https://revistas.ucr.ac.cr/index.php/ingenieria,https://doaj.org/toc/f2cec0d6622d40c8be626e27293bd77d,1409-2441,2215-2652,Costa Rica,No,No,,revista.inii@ucr.ac.cr,revista.inii@ucr.ac.cr
Escena. Revista de las artes,http://revistas.ucr.ac.cr/index.php/escena/index,https://doaj.org/toc/99309e75f7b74f5e91eab3a5521f3a81,1409-2522,2215-4906,Costa Rica,No,No,,,
Revista Bibliotecas,http://www.revistas.una.ac.cr/index.php/bibliotecas/index,https://doaj.org/toc/8d442f2ade5c41919bf471bbdd7b28d0,1409-3049,1659-3286,Costa Rica,No,No,,ebdi@una.ac.cr,ebdi@una.ac.cr
Praxis,http://www.revistas.una.ac.cr/index.php/praxis/index,https://doaj.org/toc/dd3cb56e199547da8cf12fc926a0c4c9,1409-309X,2215-3659,Costa Rica,No,No,,,
Cuadernos de Antropología,http://revistas.ucr.ac.cr/index.php/antropologia,https://doaj.org/toc/ba19398c37434a7a8c30d49a16e8e147,1409-3138,2215-356X,Costa Rica,No,No,,cuadernos.antropologia@ucr.ac.cr,cuadernos.antropologia@ucr.ac.cr
Perspectivas Rurales,http://www.revistas.una.ac.cr/index.php/perspectivasrurales/index,https://doaj.org/toc/9a84071398c74630957368e1bc9b646b,1409-3251,2215-5325,Costa Rica,No,No,,,
Perspectivas,http://www.revistas.una.ac.cr/perspectivas,https://doaj.org/toc/bdcd7e0ff35f49e6a8087a01454b7147,1409-3669,2215-4728,Costa Rica,No,No,,r.perspectivas@una.cr,r.perspectivas@una.cr
Lankesteriana,http://revistas.ucr.ac.cr/index.php/lankesteriana/index,https://doaj.org/toc/0b9e9a48da9f4777befae39c7a1d3799,1409-3871,2215-2067,Costa Rica,No,No,,,
Abra,http://www.revistas.una.ac.cr/index.php/abra,https://doaj.org/toc/b504f74de9e04525bb1f2811813a93b4,1409-3928,2215-2997,Costa Rica,No,No,revistaabra@una.cr,revistaabra@una.cr,revistaabra@una.cr
Revista Espiga,https://revistas.uned.ac.cr/index.php/espiga,https://doaj.org/toc/d3a30425d2e34fd985dae42670faf805,1409-4002,2215-454X,Costa Rica,No,No,,,
Infraestructura Vial,https://revistas.ucr.ac.cr/index.php/vial,https://doaj.org/toc/f5e7e5b78fe249e98333012bbf3ce475,1409-4045,2215-3705,Costa Rica,No,No,,revistaiv.lanamme@ucr.ac.cr,revistaiv.lanamme@ucr.ac.cr
Letras,http://www.revistas.una.ac.cr/index.php/letras/index,https://doaj.org/toc/70b45d471317465c824f751aefb23026,1409-424X,2215-4094,Costa Rica,No,No,,,
Revista Electronic@ Educare,https://www.revistas.una.ac.cr/index.php/educare,https://doaj.org/toc/76aa293ff6214fcd90741a2878422e10,,1409-4258,Costa Rica,No,No,,educare@una.ac.cr,educare@una.ac.cr
Enfermería Actual de Costa Rica,https://www.revistas.ucr.ac.cr/index.php/enfermeria/index,https://doaj.org/toc/a790512135074f2bb770778dc7b55dbe,,1409-4568,Costa Rica,No,No,,,
