Journal title,Journal URL,URL in DOAJ,When did the journal start to publish all content using an open license?,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Keywords,Languages in which the journal accepts manuscripts,Publisher,Country of publisher,Society or institution,Country of society or institution,Journal license,License attributes,URL for license terms,Machine-readable CC licensing information embedded or displayed in articles,URL to an example page with embedded licensing information,Author holds copyright without restrictions,Copyright information URL,Review process,Review process information URL,Journal plagiarism screening policy,Plagiarism information URL,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,Average number of weeks between article submission and publication,APC,APC information URL,APC amount,Journal waiver policy (for developing country authors etc),Waiver policy information URL,Has other fees,Other fees information URL,Preservation Services,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,Persistent article identifiers,Article metadata includes ORCIDs,Journal complies with I4OC standards for open citations,Does the journal comply to DOAJ's definition of open access?,URL for journal's Open Access statement,Continues,Continued By,LCC Codes,Subjects,DOAJ Seal,Added on Date,Last updated Date,Number of Article Records,Most Recent Article Added
Informal Logic,https://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/index,https://doaj.org/toc/69f4f53456634115841a81ce3492748e,2006,,0824-2577,2293-734X,"reasoning, argumentation, informal logic",English,University of Windsor,Canada,University of Windsor,,Publisher's own license,,http://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/submissions#copyrightNotice,,,Yes,https://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/submissions#copyrightNotice,Double blind peer review,http://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/editorialPolicies#peerReviewProcess,No,,http://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/editorialPolicies#focusAndScope,https://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/index,http://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/submissions#authorGuidelines,12,No,https://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/editorialPolicies#openAccessPolicy,,No,,No,,"Portico, Scholars Portal",,http://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/editorialPolicies,,,,,,Yes,https://ojs.uwindsor.ca/ojs/leddy/index.php/informal_logic/about/editorialPolicies#openAccessPolicy,,,BC1-199,Philosophy. Psychology. Religion: Logic,No,2008-05-27T14:11:18Z,2022-09-13T09:27:49Z,1198,2022-12-14T18:00:05Z
Miqot: Jurnal Ilmu-ilmu Keislaman,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot,https://doaj.org/toc/fe459a8d9b38470295c6bfa9c26dd568,2008,,0852-0720,2502-3616,"islam, indonesia, religiosity","Arabic, English, Indonesian",State Islamic University of North Sumatra,Indonesia,,,CC BY-SA,,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/submissions#copyrightNotice,,,No,,Peer review,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/editorialPolicies#peerReviewProcess,Yes,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/editorialPolicies#custom-1,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/editorialPolicies#focusAndScope,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/editorialTeam,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/submissions#authorGuidelines,24,No,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/editorialPolicies#custom-2,,No,,No,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/editorialPolicies#custom-2,,,,,,,,,Yes,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot/about/editorialPolicies#openAccessPolicy,,,BP1-253,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",No,2017-07-26T10:43:06Z,2017-07-26T11:43:06Z,251,2023-01-03T10:00:57Z
Justitia Et Pax,https://ojs.uajy.ac.id/index.php/justitiaetpax,https://doaj.org/toc/42635f9c0b2b449ba4b941a57d5f29e1,2017,JEP,0852-1883,2541-3007,"legal system, civil law, criminal law, islamic law, international law","English, Indonesian","universitas atma jaya yogyakarta, fakultas hukum",Indonesia,"universitas atma jaya yogyakarta, fakultas hukum",,CC BY-NC-SA,,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/submissions#copyrightNotice,,,Yes,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/submissions#copyrightNotice,Double blind peer review,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/editorialPolicies#peerReviewProcess,No,,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/editorialPolicies#focusAndScope,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/editorialTeam,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/submissions#authorGuidelines,12,No,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/submissions#authorFees,,No,,No,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/submissions#authorFees,,,,,,DOI,,,Yes,https://ojs.uajy.ac.id/index.php/justitiaetpax/about/editorialPolicies#openAccessPolicy,,,K,Law,No,2019-06-11T07:39:22Z,2019-06-11T07:39:22Z,96,2022-07-06T07:33:23Z
Majalah Ilmiah Peternakan,http://ojs.unud.ac.id/index.php/mip,https://doaj.org/toc/12c4fe802632497682a033736d9d4e52,2004,,0853-8999,2656-8373,animal husbandry,"Indonesian, English",Universitas Udayana,Indonesia,Fakultas Peternakan,,CC BY,,http://ojs.unud.ac.id/index.php/mip/about/submissions#copyrightNotice,Yes,http://ojs.unud.ac.id/index.php/mip/article/view/10916,No,,Peer review,http://ojs.unud.ac.id/index.php/mip/about/editorialPolicies#peerReviewProcess,No,,http://ojs.unud.ac.id/index.php/mip/about/editorialPolicies#focusAndScope,http://ojs.unud.ac.id/index.php/mip/about/editorialTeam,http://ojs.unud.ac.id/index.php/mip/about/submissions#authorGuidelines,24,Yes,http://ojs.unud.ac.id/index.php/mip/about/submissions#authorFees,20 USD,No,,No,,,Portal Garuda,http://id.portalgaruda.org/?ref=browse&mod=viewjournal&journal=952,,,,,,Yes,http://ojs.unud.ac.id/index.php/mip/about/editorialPolicies#openAccessPolicy,,,SF1-1100,Agriculture: Animal culture,No,2016-04-04T15:30:27Z,2022-09-13T09:51:57Z,335,2023-01-23T16:56:47Z
Media Mahardhika: Media Komunikasi Ekonomi dan Manajemen,http://ojs.stiemahardhika.ac.id/index.php/mahardika,https://doaj.org/toc/84d6507bffe5488bb048b4a5dc78a71c,2017,Media Mahardhika,0854-0861,2407-4950,"economics, management",Indonesian,Sekolah Tinggi Ilmu Ekonomi (STIE) Mahardika,Indonesia,STIE Mahardika,,CC BY-SA,,http://ojs.stiemahardhika.ac.id/index.php/mahardika/copyright,,,No,,Double blind peer review,http://ojs.stiemahardhika.ac.id/index.php/mahardika/review,No,,http://ojs.stiemahardhika.ac.id/index.php/mahardika/aim,http://ojs.stiemahardhika.ac.id/index.php/mahardika/team,http://ojs.stiemahardhika.ac.id/index.php/mahardika/guide,6,No,http://ojs.stiemahardhika.ac.id/index.php/mahardika/fee,,No,,No,http://ojs.stiemahardhika.ac.id/index.php/mahardika/fee,,,,,,DOI,,,Yes,http://ojs.stiemahardhika.ac.id/index.php/mahardika/open,,,HF5601-5689|HG1-9999,Social Sciences: Commerce: Business: Accounting. Bookkeeping | Social Sciences: Finance,No,2018-06-29T08:52:31Z,2018-06-29T09:52:31Z,8,2018-06-29T14:08:12Z
Linguistika,https://ojs.unud.ac.id/index.php/linguistika,https://doaj.org/toc/fea2b643008a4fefb67205e4c8530091,2007,Linguistika: Buletin Ilmiah Program Magister Linguistik Universitas Udayana,0854-9613,,"theoretical linguistics, descriptive linguistics, applied linguistics, language learning","English, Indonesian",Universitas Udayana,Indonesia,"Program Studi Magister Linguistik, Program Pascasarjana Universitas Udayana",,CC BY,,https://ojs.unud.ac.id/index.php/linguistika/CopyrightNotice?,,,No,,Peer review,https://ojs.unud.ac.id/index.php/linguistika/PeerReviewProcess?,Yes,https://ojs.unud.ac.id/index.php/linguistika/PeerReviewProcess?,https://ojs.unud.ac.id/index.php/linguistika/FocusandScope?,https://ojs.unud.ac.id/index.php/linguistika/about/editorialTeam/?,https://ojs.unud.ac.id/index.php/linguistika/AuthorGuidelines?,24,No,https://ojs.unud.ac.id/index.php/linguistika/AuthorFee?,,No,,No,https://ojs.unud.ac.id/index.php/linguistika/AuthorFee?,,,,,,,,,Yes,https://ojs.unud.ac.id/index.php/linguistika/OpenAccessPolicy?,,,P101-410,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,No,2018-04-05T10:34:13Z,2018-04-05T11:34:13Z,0,
História - Revista da Faculdade de Letras da Universidade do Porto,http://ojs.letras.up.pt/index.php/historia/index,https://doaj.org/toc/bac7be1face34d18936123ab23492b7d,1970,Historia - Revista da FLUP,0871-164X,,"culture, historiography, history",Portuguese,Universidade do Porto,Portugal,,,CC BY-NC,,http://ojs.letras.up.pt/index.php/historia/about/editorialPolicies#openAccessPolicy,,,No,http://ojs.letras.up.pt/index.php/historia/about/submissions#copyrightNotice,Double blind peer review,http://ojs.letras.up.pt/index.php/historia,No,,http://ojs.letras.up.pt/index.php/historia/about/editorialPolicies#focusAndScope,http://ojs.letras.up.pt/index.php/historia/about/editorialTeam,http://ojs.letras.up.pt/index.php/historia/about/submissions#authorGuidelines,18,No,http://ojs.letras.up.pt/index.php/historia/about/submissions#copyrightNotice,,No,,No,,,,,Sherpa/Romeo,https://v2.sherpa.ac.uk/id/publication/18177,DOI,No,No,Yes,http://ojs.letras.up.pt/index.php/Port/about/editorialPolicies#openAccessPolicy,,,D1-2009,History (General) and history of Europe: History (General),No,2008-06-23T13:43:46Z,2020-12-18T20:48:13Z,262,2020-08-24T13:34:49Z
Portugália,http://ojs.letras.up.pt/index.php/Port/index,https://doaj.org/toc/c93c5b7adf694b719a40dae0b96464d7,2000,Portugalia: Revista de Arqueologia do Departamento de Ciências e Técnicas do Património da Faculdade de Letras da Universidade do Porto,0871-4290,2183-3516,"proto-history, modern archaeology, classic archaeology, medieval archaelogy, archaelogy, pre-history","English, French, Portuguese, Spanish",Universidade do Porto,Portugal,"Universidade do Porto, Faculdade de Letras",,CC BY-NC,,http://ojs.letras.up.pt/index.php/Port/about/submissions#copyrightNotice,,,No,http://ojs.letras.up.pt/index.php/Port/about/editorialPolicies#focusAndScope,Peer review,http://ojs.letras.up.pt/index.php/Port/about/editorialPolicies#peerReviewProcess,No,,http://ojs.letras.up.pt/index.php/Port/about/editorialPolicies#focusAndScope,http://ojs.letras.up.pt/index.php/Port/about/editorialTeam,http://ojs.letras.up.pt/index.php/Port/about/submissions#authorGuidelines,16,No,http://ojs.letras.up.pt/index.php/Port/about/editorialPolicies#openAccessPolicy,,No,,No,,,,,Sherpa/Romeo,https://v2.sherpa.ac.uk/id/publication/18174,,Yes,No,Yes,http://ojs.letras.up.pt/index.php/Port/about/editorialPolicies#openAccessPolicy,,,CC1-960,Auxiliary sciences of history: Archaeology,No,2018-05-31T11:56:43Z,2020-11-26T20:38:45Z,19,2020-03-03T14:20:23Z
Sociologia: Revista da Faculdade de Letras da Universidade do Porto,http://ojs.letras.up.pt/index.php/Sociologia/issue/archive,https://doaj.org/toc/5959764dcc434f1b88c4907f07a57d93,1991,Sociologia,0872-3419,2182-9691,"social sciences, social theory, humanites","Portuguese, French, English",Universidade do Porto,Portugal,,,CC BY-NC,,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=1&s=6&n=145,,,No,,Blind peer review,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=1&s=6&n=146,No,,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=1&s=6&n=147,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=1&s=222&n=0,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=1&s=8&n=0,6,No,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=1&s=6&n=144,,No,,No,,,,,Sherpa/Romeo,,,,,Yes,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=1&s=6&n=144,,,H|H1-99,Social Sciences: Social sciences (General),No,2008-06-23T13:14:21Z,2022-09-15T16:01:28Z,324,2020-09-15T09:56:07Z
Via Spiritus,http://ojs.letras.up.pt/index.php/vsp/index,https://doaj.org/toc/9845d6e799f44a3ca08f74edc9c2dc05,1994,Via Spiritus: Revista de História da Espiritualidade e do Sentimento Religioso,0873-1233,2183-0444,"religion, history, social sciences, spirituality","English, French, Italian, Portuguese, Spanish",Universidade do  Porto,Portugal,CITCEM,,CC BY-NC,,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=281&n=520,,,Yes,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=281&n=520,Peer review,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=322&n=0,No,,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=281&n=0,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=280&n=0,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=322&n=0,15,No,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=281&n=518,,No,,No,,,,,,,,,,Yes,http://ler.letras.up.pt/revistasdaflup/default.aspx?l=1&m=226&s=281&n=518,,,BR1-1725,Philosophy. Psychology. Religion: Christianity,No,2008-01-28T14:55:37Z,2022-06-04T09:34:41Z,91,2017-02-13T11:30:04Z
Páginas a&b,http://ojs.letras.up.pt/index.php/paginasaeb/index,https://doaj.org/toc/c7d6e677c8574957955c1b2345d5f62f,1997,Páginas a&b: Arquivos e Bibliotecas,0873-5670,2183-6671,"library science, information science, archival science","English, French, Portuguese, Spanish",CITCEM,Portugal,,,CC BY-NC,,http://ojs.letras.up.pt/index.php/paginasaeb/about/submissions#onlineSubmissions,,,No,http://ojs.letras.up.pt/index.php/paginasaeb/about/submissions#copyrightNotice,Blind peer review,http://ojs.letras.up.pt/index.php/paginasaeb/about/editorialPolicies#peerReviewProcess,No,,http://ojs.letras.up.pt/index.php/paginasaeb/about/editorialPolicies#focusAndScope,http://ojs.letras.up.pt/index.php/paginasaeb/about/editorialTeam,http://ojs.letras.up.pt/index.php/paginasaeb/about/submissions#authorGuidelines,28,No,http://ojs.letras.up.pt/index.php/paginasaeb/about/submissions#authorGuidelines,,No,,No,,,,,,,DOI,No,No,Yes,http://ojs.letras.up.pt/index.php/paginasaeb/about/editorialPolicies#openAccessPolicy,,,Z,Bibliography. Library science. Information resources,No,2016-03-07T18:14:55Z,2020-11-27T20:26:21Z,128,2020-08-28T15:15:24Z
Africana Studia,https://ojs.letras.up.pt/index.php/AfricanaStudia,https://doaj.org/toc/7285ff9c8b544f1ea032f4b3dcea43e1,2020,,0874-2375,2182-2867,"african studies, labor history, internacional relations, archaeology of africa, education","Portuguese, English, French",Centro de Estudos Africanos da Universidade do Porto,Portugal,Centro de Estudos Africanos da Universidade do Porto,Portugal,CC BY-NC,,https://ojs.letras.up.pt/index.php/AfricanaStudia/about/submissions,,,No,https://ojs.letras.up.pt/index.php/AfricanaStudia/about/submissions,Peer review,https://www.africanos.eu/index.php/en/africana-studia-2/estatuto-editorial-2,No,,https://www.africanos.eu/index.php/en/africana-studia-2/estatuto-editorial-2,https://ojs.letras.up.pt/index.php/AfricanaStudia/issue/view/684,https://www.africanos.eu/index.php/en/africana-studia-2/publishing-norms,25,No,https://ojs.letras.up.pt/index.php/AfricanaStudia/about/submissions,,No,,No,,,,,,,,No,No,Yes,https://ojs.letras.up.pt/index.php/AfricanaStudia,,,GN1-890|DT1-3415,Geography. Anthropology. Recreation: Anthropology | History (General) and history of Europe: History of Africa,No,2021-07-12T12:17:50Z,2021-07-12T12:17:50Z,1,2021-07-30T15:02:18Z
Journal of Business Strategies,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/index,https://doaj.org/toc/4fdce88d29f641c080661264faa6eb80,2021,,0887-2058,2162-6901,"business, economics, management, marketing, accounting, human resources",English,Sam Houston State University,United States,,,CC BY-NC,,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/about,Yes,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/article/view/412,Yes,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/copyright,Double blind peer review,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/about,No,,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/about,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/about/editorialTeam,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/about/submissions,12,No,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/about,,No,,No,,,,,,,DOI,No,Yes,Yes,https://jbs-ojs-shsu.tdl.org/jbs/index.php/jbs/openaccess,,,HF5001-6182,Social Sciences: Commerce: Business,No,2022-01-24T16:27:31Z,2022-01-24T16:27:31Z,0,
Pacific Journalism Review,https://ojs.aut.ac.nz/pacific-journalism-review/,https://doaj.org/toc/bfc5ee3baff5410cafb1b131a94de4fa,2016,PJR,1023-9499,2324-2035,"media, journalism, pacific region, national identity, cultural politics, communication",English,Asia Pacific Network,New Zealand,,,CC BY-NC,,https://ojs.aut.ac.nz/pacific-journalism-review/about/submissions,,,Yes,https://ojs.aut.ac.nz/pacific-journalism-review/about/submissions,Double blind peer review,https://ojs.aut.ac.nz/pacific-journalism-review/about,Yes,https://ojs.aut.ac.nz/pacific-journalism-review/about/submissions,https://ojs.aut.ac.nz/pacific-journalism-review/about,https://ojs.aut.ac.nz/pacific-journalism-review/about/editorialTeam,https://ojs.aut.ac.nz/pacific-journalism-review/about/submissions,24,No,https://ojs.aut.ac.nz/pacific-journalism-review/about,,No,,No,,CLOCKSS,,https://ojs.aut.ac.nz/pacific-journalism-review/about,Sherpa/Romeo,https://v2.sherpa.ac.uk/id/publication/14250,DOI,Yes,Yes,Yes,https://ojs.aut.ac.nz/pacific-journalism-review/about,,,P87-96|PN4699-5650,"Language and Literature: Philology. Linguistics: Communication. Mass media | Language and Literature: Literature (General): Journalism. The periodical press, etc.",No,2020-07-21T11:35:20Z,2022-09-27T07:30:54Z,1036,2022-07-29T01:53:58Z
Education Policy Analysis Archives,https://epaa.asu.edu/ojs/index.php/epaa,https://doaj.org/toc/7945e69a46434c8daa02298fa96a9e68,1993,EPAA,,1068-2341,"education, education policy","English, Portuguese, Spanish",Arizona State University,United States,,,CC BY-SA,,https://epaa.asu.edu/ojs/about/submissions#copyrightNotice,Yes,https://epaa.asu.edu/ojs/article/view/4354/2360,Yes,https://epaa.asu.edu/ojs/about/editorialPolicies#openAccessPolicy,Double blind peer review,https://epaa.asu.edu/ojs/about/editorialPolicies#peerReviewProcess,No,,https://epaa.asu.edu/ojs/about/editorialPolicies#focusAndScope,https://epaa.asu.edu/ojs/about/editorialTeam,https://epaa.asu.edu/ojs/about/submissions#authorGuidelines,20,No,https://epaa.asu.edu/ojs/about/editorialPolicies#openAccessPolicy,,No,,No,,PKP PN,,https://epaa.asu.edu/ojs/about/editorialPolicies#archiving,https://epaa.asu.edu/ojs/about/editorialPolicies#archiving,,DOI,,,Yes,https://epaa.asu.edu/ojs/about/editorialPolicies#openAccessPolicy,,,L,Education,Yes,2003-10-15T00:00:00Z,2022-09-27T20:47:41Z,1823,2021-09-13T15:05:23Z
Bolivian Studies Journal,http://bsj.pitt.edu,https://doaj.org/toc/f80e4b9ea7824e9696962c2d55775157,2010,Revista de Estudios Bolivianos,1074-2247,2156-5163,"area studies, bolivia, anthropology, cultural studies, indigenous studies","Spanish, English","University Library System, University of Pittsburgh",United States,Center for Latin American Studies; Department of Hispanic Languages and Literatures; Center for the Studies of Latin American Literatures,,CC BY,,http://bsj.pitt.edu/ojs/index.php/bsj/about/submissions#copyrightNotice,Yes,http://bsj.pitt.edu/ojs/index.php/bsj/article/view/247/1436,Yes,http://bsj.pitt.edu/ojs/index.php/bsj/about/submissions#copyrightNotice,Double blind peer review,http://bsj.pitt.edu/ojs/index.php/bsj/about/editorialPolicies#peerReviewProcess,No,,http://bsj.pitt.edu/ojs/index.php/bsj/about/editorialPolicies#focusAndScope,http://bsj.pitt.edu/ojs/index.php/bsj/about/displayMembership/5,http://bsj.pitt.edu/ojs/index.php/bsj/about/submissions#onlineSubmissions,10,No,http://bsj.pitt.edu/ojs/index.php/bsj/about/editorialPolicies#openAccessPolicy,,No,,No,,PKP PN,,https://portal.issn.org/resource/ISSN/2156-5163#,Sherpa/Romeo,https://v2.sherpa.ac.uk/id/publication/19634,DOI,Yes,No,Yes,http://bsj.pitt.edu/ojs/index.php/bsj/about/editorialPolicies#openAccessPolicy,,,GN1-890|F1201-3799,Geography. Anthropology. Recreation: Anthropology | History America: Latin America. Spanish America,Yes,2012-04-04T13:05:04Z,2022-09-27T21:06:29Z,176,2022-12-02T15:51:26Z
Journal of World-Systems Research,https://jwsr.pitt.edu/ojs/index.php/jwsr,https://doaj.org/toc/44c36dfa63314a3881466686fef3d307,1995,,,1076-156X,"political science, economics, globalization, world systems, environment, labour",English,"University Library System, University of Pittsburgh",United States,American Sociological Association Section on Political Economy of the World-System,,CC BY,,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/submissions#copyrightNotice,Yes,http://jwsr.pitt.edu/ojs/index.php/jwsr/article/view/19/625,Yes,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/submissions#copyrightNotice,Double blind peer review,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/editorialPolicies#peerReviewProcess,No,,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/editorialPolicies#focusAndScope,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/displayMembership/5,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/submissions#authorGuidelines,30,No,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/editorialPolicies#openAccessPolicy,,No,,No,,PKP PN,,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/editorialPolicies#archiving,Sherpa/Romeo,,DOI,,,Yes,http://jwsr.pitt.edu/ojs/index.php/jwsr/about/editorialPolicies#openAccessPolicy,,,J|H,Political science | Social Sciences,Yes,2003-10-15T00:00:00Z,2022-09-27T21:16:10Z,858,2022-08-25T18:00:33Z
Electronic Journal of Combinatorics,http://www.combinatorics.org,https://doaj.org/toc/c11f24db6c824eefa106d741953b9716,2014,,,1077-8926,"mathematics, ombinatorics",English,Electronic Journal of Combinatorics,Australia,,,CC BY,,https://www.combinatorics.org/ojs/index.php/eljc/about/submissions,Yes,https://www.combinatorics.org/ojs/index.php/eljc/article/view/v27i3p1/8116,Yes,https://www.combinatorics.org/ojs/index.php/eljc/about/submissions,Double blind peer review,https://www.combinatorics.org/ojs/index.php/eljc/about,No,,https://www.combinatorics.org/ojs/index.php/eljc/about,https://www.combinatorics.org/ojs/index.php/eljc/about/editorialTeam,https://www.combinatorics.org/ojs/index.php/eljc/about/submissions,24,No,http://www.combinatorics.org/ojs/index.php/eljc/index,,No,,No,https://www.combinatorics.org/,,,,,,DOI,,,Yes,https://www.combinatorics.org/ojs/index.php/eljc/about,,,QA1-939,Science: Mathematics,No,2017-01-23T13:49:51Z,2020-07-20T15:59:39Z,0,
Current Issues in Education,https://cie.asu.edu/ojs/index.php/cieatasu,https://doaj.org/toc/245d52bc7e84453d89aab0fe257b2c8c,2016,CIE,,1099-839X,"education, pedagogy, learning, teaching, educational research",English,Arizona State University,United States,"Arizona State University, Mary Lou Fulton Teachers College",United States,CC BY-SA,,https://cie.asu.edu/ojs/index.php/cieatasu/about/submissions,,,Yes,https://cie.asu.edu/ojs/index.php/cieatasu/about/submissions#copyrightNotice,Double blind peer review,https://cie.asu.edu/ojs/index.php/cieatasu/about/submissions,No,,https://cie.asu.edu/ojs/index.php/cieatasu/index,https://cie.asu.edu/ojs/index.php/cieatasu/about/editorialTeam,https://cie.asu.edu/ojs/index.php/cieatasu/about/submissions,16,No,https://cie.asu.edu/ojs/index.php/cieatasu/index,,No,,No,,,,,,,,Yes,No,Yes,https://cie.asu.edu/ojs/index.php/cieatasu/OAPolicy,,,L,Education,No,2021-06-17T10:16:33Z,2021-06-17T10:16:33Z,327,2023-02-13T19:25:10Z
Italian Journal of Food Science,https://www.itjfs.com/index.php/ijfs,https://doaj.org/toc/acd4c500b5ba4e88a2398cb8f8f9e9dc,2008,,1120-1770,,"food, beverage, microbiology, packaging",English,Chiriotti Editori,Italy,,,CC BY-NC-ND,,https://www.itjfs.com/index.php/ijfs/about/submissions,,,No,,Peer review,https://www.itjfs.com/index.php/ijfs/about,No,http://www.chiriottieditori.it/ojs/index.php/IJFS/about/submissions#onlineSubmissions,https://www.itjfs.com/index.php/ijfs/about,https://www.itjfs.com/index.php/ijfs/about/editorialTeam,https://www.itjfs.com/index.php/ijfs/about/submissions,12,Yes,https://www.itjfs.com/index.php/ijfs/about,1100 USD,No,,No,https://www.itjfs.com/index.php/ijfs/about,,,,,,DOI,,,Yes,https://www.itjfs.com/index.php/ijfs/about,,,TX341-641|TP368-456|RA1-1270|Q1-390,Technology: Home economics: Nutrition. Foods and food supply | Technology: Chemical technology: Food processing and manufacture | Medicine: Public aspects of medicine | Science: Science (General),No,2015-11-16T13:25:03Z,2020-08-12T14:00:45Z,80,2016-03-02T11:30:12Z
GEOmedia,http://mediageo.it/ojs/index.php/GEOmedia,https://doaj.org/toc/424fbe1a243746abad95bc4b6a69d26a,2005,,1128-8132,2283-5687,"geomatics, topography, remote sensing, mapping, geographic information, earth observation","English, Italian",mediaGEO soc. coop.,Italy,,,CC BY,,http://mediageo.it/ojs/index.php/GEOmedia/about/submissions#copyrightNotice,,,Yes,http://mediageo.it/ojs/index.php/GEOmedia/about/submissions#copyrightNotice,Blind peer review,http://mediageo.it/ojs/index.php/GEOmedia/about/editorialPolicies#sectionPolicies,No,,http://mediageo.it/ojs/index.php/GEOmedia/about/editorialPolicies#sectionPolicies,http://mediageo.it/ojs/index.php/GEOmedia/about/displayMembership/1,http://mediageo.it/ojs/index.php/GEOmedia/about/submissions#authorGuidelines,8,No,http://mediageo.it/ojs/index.php/GEOmedia/information/authors,,No,,No,http://mediageo.it/ojs/index.php/GEOmedia/information/authors,,,http://mediageo.it/ojs/index.php/GEOmedia/about/editorialPolicies#archiving,,,,,,Yes,http://mediageo.it/ojs/index.php/GEOmedia/about/editorialPolicies#openAccessPolicy,,,GA101-1776|GA109.5,Geography. Anthropology. Recreation: Mathematical geography. Cartography: Cartography: Cadastral mapping,No,2013-06-07T14:45:53Z,2020-08-12T14:39:41Z,2404,2023-01-28T01:29:54Z
